Time [s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s]
25.9,0.0872754326,0.1356869,0.0339071574,7.22992366e-05,4.15676216e-06,0.133521846
26,0.0891018269,0.132374193,0.033909047,7.23471767e-05,3.19722922e-06,0.129141135
26.1,0.0907513518,0.129017998,0.0339109044,7.2382569e-05,2.26943056e-06,0.124772134
26.2,0.092225873,0.12562449,0.0339127288,7.24069809e-05,1.37344637e-06,0.120424676
26.3,0.09352764,0.122199459,0.0339145192,7.24213732e-05,5.09257299e-07,0.116107553
26.4,0.094659238,0.118748304,0.033916275,7.24263564e-05,-3.23254281e-07,0.111828552
26.5,0.0956235436,0.115276041,0.0339179954,7.24233422e-05,-1.12428791e-06,0.107594502
26.6,0.0964236824,0.111787313,0.0339196795,7.24133772e-05,-1.89411042e-06,0.103411328
26.7,0.0970629913,0.108286396,0.0339213266,7.23969344e-05,-2.63305517e-06,0.0992841009
26.8,0.0975449831,0.104777215,0.0339229359,7.23749903e-05,-3.34151103e-06,0.0952170977
26.9,0.0978733145,0.10126336,0.0339245069,7.23486221e-05,-4.01990963e-06,0.0912138603
